Source,Target,Weight
 AIArtworks, aigeneratedart,25
 aigeneratedart, aigenerator,25
 aigeneratedart, dalle2pics,25
 aigeneratedart, digital,25
 aigeneratedart, dreamstudio,25
 AIArtworks, AI,25
 digitalart, aiartworld,25
 AIArtworks, AIIA,25
 aigeneratedart, midjourney,25
 AIArtworks, aicreators,25
aiart, aigenerator,25
 art, joke,24
 AIart, eyes,24
 ArtificialIntelligence, art,24
 art, dadjokes,24
 art, mormookiee,24
 art, humor,24
ai, art,24
 art, funny,24
AI, Digitalartist,24
 blockchain, art,24
 AIartist, 3dartist,24
ai, aiartcommunity,24
 aiartist, art,24
 art, redbubble,24
 art, ai,24
dalle, imaginator,24
 artist, nft,24
dalle, aiartwork,24
 aiartwork, imaginator,24
 aiart, imaginator,24
ai, midjourneyart,24
AIArtwork, dalle2,24
 ai, dalle,24
 dalle2, AI,24
 dalle2, imaginator,24
 art, silly,24
 AIArtwork, aiartcommunity,24
AI, ChatGPT,23
 AIartist, 3dart,23
 art, dadjoke,23
 dalle2, dallemini,23
 art, 3dart,23
 art, 3dartist,23
 nft, 3dart,23
 nft, 3dartist,23
 AIart, midjourneyart,23
 dalle2, OpenAI,23
 digitalartist, art,23
 blockchain, nft,23
 art, pun,23
 artist, artgallery,23
 dalle2, stablediffusionart,23
 swapiapi, textada001,23
 AIart, Digitalartist,23
 ai, midjourney,23
 artgallery, nft,23
 artgallery, 3dartist,23
 artgallery, 3dart,23
 AI, aiartcommunity,23
 nftgallery, 3dartist,23
 nftgallery, 3dart,23
 nftcurator, 3dartist,23
 nftcurator, 3dart,23
 chatgpt, dalle2,23
dalle2, textada001,23
 digitalartist, nftgallery,23
 Dalle2, Digitalartist,23
 midjourney, midjourneyAi,23
 digitalartist, artgallery,23
 digitalartist, blockchain,23
 digitalartist, nft,23
ai, ArtificialIntelligence,23
 digitalartist, nftcurator,23
 ArtificialIntelligence, midjourney,23
 digitalartist, 3dartist,23
 blockchain, 3dartist,23
 blockchain, 3dart,23
 ai, redbubble,22
 ai, pun,22
 ai, silly,22
 ai, mormookiee,22
 ai, joke,22
ai, AIart,22
 midjourney, stablediffusion,22
 digitalart, AIart,22
 ai, humor,22
ai, midjourneyAi,22
 ai, dadjoke,22
 ai, funny,22
AI, midjourney,22
 aiartwork, dalle2,22
 ArtificialIntelligence, AIart,22
 ArtificialIntelligence, aiartcommunity,22
 ArtificialIntelligence, digitalart,22
 AIartist, ETH,22
openai, dalle2,22
 aiartcommunity, AIArtwork,22
 AIart, midjourneyAi,22
 AIart, web3,22
 ai, dadjokes,22
 dalle2, generativeart,22
 aiartcommunity, midjourneyAi,21
 Dalle2, artist,21
 digitalart, midjourneyAi,21
 digitalart, oilpainting,21
 dalle2, aiartprocess,21
 art, midjourneyAi,21
 artist, nftgallery,21
 digitalart, aiartprocess,21
 web3, artgallery,21
 ArtificialIntelligence, aiartprocess,21
 aiartcommunity, aiartprocess,21
 dalle2, AiArtSociety,21
 art, oilpainting,21
 ArtificialIntelligence, midjorneyart,21
 ArtificialIntelligence, midjourneyAi,21
 ArtificialIntelligence, midjourneyart,21
 ArtificialIntelligence, oilpainting,21
 art, blockchain,21
 web3, nftgallery,21
 dalle2, midjorneyart,21
 nft, artgallery,21
ai, aiartprocess,21
 art, aiartprocess,21
aiart, AIArtwork,21
 dalle2, textdavinci003,21
ai, oilpainting,21
ai, midjorneyart,21
 dalle2, oilpainting,21
 oilpainting, AIart,21
 oilpainting, aiartcommunity,21
 oilpainting, aiartprocess,21
 oilpainting, midjourney,21
 oilpainting, midjourneyart,21
 artist, blockchain,21
 oilpainting, midjourneyAi,21
 midjourneyart, midjourneyAi,21
 midjorneyart, midjourneyAi,21
 AI, nft,21
 midjorneyart, AIart,21
 midjorneyart, aiartcommunity,21
 midjorneyart, aiartprocess,21
 AIartist, Digitalartist,21
 AI, digitalart,21
 midjorneyart, art,21
 midjorneyart, midjourney,21
 midjorneyart, digitalart,21
 midjorneyart, midjourneyart,21
 AI, aiart,21
 midjorneyart, oilpainting,21
 aiartprocess, midjourneyart,21
 aiartprocess, midjourney,21
 aiartprocess, midjourneyAi,21
 AIart, aiartprocess,21
 digitalArt, dalle2,20
WrittenWithAI, ChatGPT,20
stablediffusion, AI,20
 AIArtwork, digitalArt,20
 AI, silly,20
 AI, redbubble,20
 AI, mormookiee,20
WrittenWithAI, AIart,20
 AI, AIart,20
marvel, textdavinci003,20
WrittenWithAI, AIArtwork,20
WrittenWithAI, dalle2,20
WrittenWithAI, digitalArt,20
 digitalart, blockchain,20
 ChatGPT, AI,20
 ChatGPT, OpenAI,20
 AI, aiartist,20
 AI, funny,20
 AI, dadjokes,20
 marvelapi, textdavinci003,20
 AIart, digitalArt,20
 AI, ArtificialIntelligence,20
 AI, joke,20
 AI, humor,20
 AIartist, web3,20
 midjourney, dalle,20
 puns, mormookiee,19
 AI, dadjoke,19
 aiartcommunity, puns,19
 puns, humor,19
 AI, pun,19
 puns, dalle2,19
 aiartworks, dalle,19
dalle2, textbabbage001,19
 puns, redbubble,19
 stablediffusion, dalle,19
 puns, nft,19
 midjourneyart, dalle2,19
 AIArtwork, AIart,19
 aiart, stablediffusionart,19
 aiart, puns,19
 silly, puns,19
 midjourneyart, dalle,19
 dadjokes, puns,19
 Dalle, Dalle2,19
 funny, puns,19
 Dalle, nft,19
stablediffusion, puns,19
 swapiapi, textbabbage001,19
 Dalle2, eyes,19
 eyes, nft,19
 Dalle2, Dalle2art,18
 hatsunemiku, AIイラスト,18
 AIart, OpenAI,18
 jokes, dalle2,18
 humor, jokes,18
 AI, ai,18
 jokes, midjourney,18
 artificialintelligence, dalle,18
 aiart, jokes,18
 jokes, mormookiee,18
 hatsunemiku, 初音ミク,18
 hatsunemiku, dalle2,18
 hatsunemiku, aiart,18
 openai, AI,18
stablediffusion, jokes,18
 puns, midjourney,18
 aiart, AIイラスト,18
hatsunemikuinplasticbag, 初音ミク,18
hatsunemikuinplasticbag, hatsunemiku,18
 jokes, nft,18
hatsunemikuinplasticbag, dalle2,18
 jokes, redbubble,18
hatsunemikuinplasticbag, aiart,18
hatsunemikuinplasticbag, AIイラスト,18
 puns, jokes,18
 digitalartwork, dalle,18
 ai, aiart,18
 funny, jokes,18
 dalle, art,18
 初音ミク, dalle2,18
 AIイラスト, dalle2,18
 aiartwork, stablediffusionart,18
 dadjokes, jokes,18
 silly, jokes,18
 midjourneyV4, dalle2,18
 aiartcommunity, jokes,18
AI, Dalle2art,18
 dalle2, artificialintelligence,18
 初音ミク, aiart,18
 初音ミク, AIイラスト,18
 dalle2, dalle2art,18
 artificialintelligence, dalle2,17
 aiartist, dalle,17
 AIartist, Dalle2art,17
AI, space,17
 Dalle, ETH,17
 aiartgallery, dalle,17
 dalle2, ArtificialIntelligence,17
 Dalle2art, Digitalartist,17
 digitalartgallery, dalle,17
 Dalle2art, digitalart,17
 Dalle2, Blockchain,17
 Dalle2, iC7ZiArt,17
 AIart, Dalle2art,17
 digitalart, Digitalartist,17
 digitalpainting, dalle,17
 aiartwork, dalle,17
AIart, aiimage,16
HealthCare, dalle2,16
 dalle2, ChatGPT,16
 openai, ChatGPT,16
 dalle, digitalart,16
 dalle2, bot,16
 eyes, web3,16
aiart, AiArtSociety,16
 dallemini, bot,16
 digitalart, web3,16
 AIartist, eyes,16
HealthCare, ArtificialIntelligence,16
 digitalart, crypto,16
HealthCare, AI,16
dalle, bot,16
dalle, dallemini,16
AI, Blockchain,16
dalle2, ArtificialIntelligence,16
 ChatGPT, AIstories,15
 web3, crypto,15
 AIart, AIstories,15
 dalle, NFTCommunity,15
 dalle2, darkart,15
 blockchain, crypto,15
 ChatGPT, WritersOfTwitter,15
 dalle2, NFTCommunity,15
 nft, crypto,15
 hatsunemiku, stablediffusion,15
hatsunemikuinplasticbag, stablediffusion,15
 ChatGPT, digitalArt,15
 art, crypto,15
AI, stablediffusion,15
 artist, crypto,15
 artist, digitalart,15
 dalle2, opensea,15
 openai, AIart,15
WrittenWithAI, AIstories,15
 ChatGPT, AIArtwork,15
OpenAI, dalle2,15
 crypto, artgallery,15
 WritersOfTwitter, digitalArt,15
 WritersOfTwitter, dalle2,15
 AIstories, dalle2,15
 AIstories, digitalArt,15
 WritersOfTwitter, AIstories,15
 WritersOfTwitter, AIArtwork,15
