,Source,Target,Weight
7116, illustration, creepyart,11
7117, illustration, cyberpunk,11
7312, johannesvermeer, modernekunst,11
7992, modernart, modernekunst,11
7991, modernart, investinart,11
7990, modernart, installationart,11
8506, occultart, 사이버펑크,11
8505, occultart, 赛博朋克,11
8504, occultart, サイバーパンク,11
8503, occultart, cyberpunk,11
7989, modernart, installation,11
7122, illustration, horrorart,11
152, AI, installationart,11
151, AI, installation,11
7129, illustration, nijijourney,11
8218, nft, installation,11
7130, illustration, occultart,11
7135, illustration, scifiart,11
9502, stablediffusion, cyberbeauties,11
7994, modernart, nftart,11
13202,vermeer, stablediffusion,11
8002, modernekunst, installation,11
8063, museum, AI,11
154, AI, johannesvermeer,11
8007, modernekunst, nftartist,11
8006, modernekunst, nftart,11
8005, modernekunst, nft,11
8004, modernekunst, investinart,11
7037, horrorart, creepyart,11
7038, horrorart, cyberpunk,11
7042, horrorart, occultart,11
8003, modernekunst, installationart,11
13205,vermeer, 現代美術,11
7995, modernart, nftartist,11
7045, horrorart, サイバーパンク,11
7046, horrorart, 赛博朋克,11
7047, horrorart, 사이버펑크,11
13189,vermeer, AIartwork,11
13204,vermeer, 現代アート,11
7316, johannesvermeer, painting,11
7315, johannesvermeer, nftartist,11
7314, johannesvermeer, nftart,11
13190,vermeer, contemporaryart,11
13203,vermeer, フェルメール,11
8219, nft, installationart,11
7311, johannesvermeer, modernart,11
160, AI, modernart,11
7310, johannesvermeer, investinart,11
9008, scifiart, 사이버펑크,11
7260, installation, installationart,11
13196,vermeer, modernekunst,11
13195,vermeer, modernart,11
7660, midjourney, horrorart,11
7284, investinart, installation,11
7285, investinart, installationart,11
7286, investinart, nft,11
13194,vermeer, johannesvermeer,11
7287, investinart, nftart,11
7288, investinart, nftartist,11
13193,vermeer, investinart,11
8306, nftartist, installation,11
8307, nftartist, installationart,11
7307, johannesvermeer, contemporaryart,11
8451, nijijourney, scifiart,11
7308, johannesvermeer, installation,11
8450, nijijourney, occultart,11
13192,vermeer, installationart,11
13191,vermeer, installation,11
8448, nijijourney, horrorart,11
8446, nijijourney, cyberpunk,11
8445, nijijourney, creepyart,11
9410, stablediffusion, aiia,11
9007, scifiart, 赛博朋克,11
9006, scifiart, サイバーパンク,11
7606, midjourney, creepyart,11
13201,vermeer, painting,11
7138, illustration, サイバーパンク,11
7140, illustration, 赛博朋克,11
7141, illustration, 사이버펑크,11
13200,vermeer, nftartist,11
8406, nightcafe, midjourney,11
8457, nijijourney, 사이버펑크,11
8456, nijijourney, 赛博朋克,11
8453, nijijourney, サイバーパンク,11
8442, nijijourney, Promptism,11
186, AI, フェルメール,11
13197,vermeer, museum,11
13199,vermeer, nftart,11
13198,vermeer, nft,11
136, AI, contemporaryart,11
8996, scifiart, creepyart,11
8997, scifiart, cyberpunk,11
9000, scifiart, horrorart,11
8278, nftart, installation,11
8279, nftart, installationart,11
9425, stablediffusion, anime,11
9002, scifiart, occultart,11
9335, stablediffusion, NFT,11
7102, illustration, Promptism,11
7317, johannesvermeer, フェルメール,11
6972, graphicdesign, midjourney,11
8078, museum, フェルメール,11
6968, graphicdesign, creepyart,11
8077, museum, stablediffusion,11
6969, graphicdesign, cyberpunk,11
8076, museum, painting,11
8075, museum, nftartist,11
6970, graphicdesign, horrorart,11
8074, museum, nftart,11
6971, graphicdesign, illustration,11
6973, graphicdesign, nijijourney,11
9563, stablediffusion, fantasy,11
6974, graphicdesign, occultart,11
6975, graphicdesign, scifiart,11
6976, graphicdesign, stablediffusion,11
8073, museum, nft,11
6977, graphicdesign, サイバーパンク,11
6978, graphicdesign, 赛博朋克,11
8072, museum, modernekunst,11
6979, graphicdesign, 사이버펑크,11
8071, museum, modernart,11
6967, graphicdesign, Promptism,11
6966, graphicdesign, AiArtwork,11
9595, stablediffusion, horrorart,11
8586, painting, contemporaryart,11
190, AI, 現代アート,11
9649, stablediffusion, modernekunst,11
9648, stablediffusion, modernart,11
679, AIart, cyberbeauties,11
7736, midjourney, サイバーパンク,11
675, AIart, contemporaryart,11
191, AI, 現代美術,11
7740, midjourney, 赛博朋克,11
