,Source,Target,Weight
10700, pc, aiart,13
10699, pc, RPG,13
7914, fortnite, AI,13
7916, fortnite, NoMansSky,13
10997, ps4, nft,13
9868, nft, fantasy,13
7917, fortnite, RPG,13
7918, fortnite, ai,13
7919, fortnite, aiart,13
7920, fortnite, amongus,13
7923, fortnite, art,13
10984, ps4, aiart,13
3011, NoMansSky, RPG,13
3028, NoMansSky, ps4,13
10709, pc, fantasy,13
3027, NoMansSky, pc,13
10716, pc, ps5,13
10715, pc, ps4,13
3026, NoMansSky, nintendo,13
3025, NoMansSky, nft,13
3024, NoMansSky, mmo,13
9913, nft, xbox,13
10714, pc, nintendo,13
10713, pc, nft,13
10712, pc, mmo,13
10711, pc, minecraft,13
3023, NoMansSky, minecraft,13
5444, art, RPG,13
3021, NoMansSky, fantasy,13
6751, dalle, amongus,13
3016, NoMansSky, art,13
6754, dalle, art,13
3013, NoMansSky, amongus,13
3012, NoMansSky, aiart,13
11721, startrek, RPG,13
10302, nintendo, minecraft,13
11679, starcitizen, fantasy,13
9745, nasa, nintendo,13
196, AI, nasa,13
193, AI, mmo,13
9740, nasa, fantasy,13
192, AI, minecraft,13
4268, aiart, pixelzai,13
11788, starwars, startrek,13
3924, ai, xbox,13
11686, starcitizen, pc,13
9742, nasa, minecraft,13
4231, aiart, mmo,13
9743, nasa, mmo,13
9744, nasa, nft,13
4229, aiart, minecraft,13
9746, nasa, pc,13
201, AI, nintendo,13
9747, nasa, ps4,13
11687, starcitizen, ps4,13
146, AI, amongus,13
138, AI, ai,13
9748, nasa, ps5,13
11718, startrek, AI,13
127, AI, RPG,13
11688, starcitizen, ps5,13
120, AI, NoMansSky,13
9304, midjourneyai, aiartcommunity,13
11787, starwars, starcitizen,13
9756, nasa, xbox,13
9623, mmo, xbox,13
3899, ai, ps5,13
3898, ai, ps4,13
9616, mmo, nft,13
11681, starcitizen, minecraft,13
11674, starcitizen, art,13
11793, starwars, xbox,13
11671, starcitizen, amongus,13
11670, starcitizen, aiart,13
11669, starcitizen, ai,13
3844, ai, fantasy,13
11668, starcitizen, RPG,13
11667, starcitizen, NoMansSky,13
3875, ai, minecraft,13
3876, ai, mmo,13
3879, ai, nasa,13
232, AI, xbox,13
3886, ai, nintendo,13
11682, starcitizen, mmo,13
9735, nasa, art,13
3890, ai, pc,13
218, AI, starcitizen,13
9729, nasa, NoMansSky,13
9730, nasa, RPG,13
11683, starcitizen, nasa,13
11684, starcitizen, nft,13
9731, nasa, aiart,13
4354, aiart, xbox,13
11685, starcitizen, nintendo,13
207, AI, ps5,13
9732, nasa, amongus,13
206, AI, ps4,13
204, AI, pc,13
3785, ai, amongus,13
6790, dalle, xbox,13
9428, midjourneyart, digitalart,13
4048, aiart, amongus,13
11696, starcitizen, xbox,13
9615, mmo, minecraft,13
9606, mmo, amongus,13
9605, mmo, RPG,13
11783, starwars, ps5,13
3996, aiart, RPG,13
9592, minecraft, xbox,13
7039, digitalart, artificialintelligence,13
482, AIArtwork, art,13
9613, mmo, fantasy,13
504, AIArtwork, digitalart,12
4438, aiartcommunity, aiartworks,12
11527, stablediffusion, aiartwork,12
613, AIArtworks, art,12
4225, aiart, midjourneyart,12
13943,StableDiffusion, DigitalArt,12
1357, AiArtSociety, aiart,12
5259, amongus, mmo,12
9386, midjourneyart, aiartwork,12
11520, stablediffusion, ai,12
11630, stablediffusionart, AIArtworks,12
4888, aiartwork, digitalart,12
11632, stablediffusionart, AIart,12
5584, art, trippy,12
866, AIart, ailust,11
471, AIArtwork, aiart,11
4610, aiartcommunity, trippy,11
9298, midjourneyai, AIArtwork,11
1089, AIartists, aiartcommunity,11
9261, midjourneyV4, art,11
5455, art, aiartcommunity,11
12369, vqganclip, of,11
13094,AIart, ailust,11
1629, ArtOfTheDay, ailust,11
11950, surrealart, ailust,11
7174, digitalart, of,11
11575, stablediffusion, generativeart,11
4748, aiartist, digitalart,11
12143, thebeastsofai, ailust,11
9039, midjourney, digitalart,11
4736, aiartist, artificialintelligence,11
14416,aiart, of,11
2877, NFTs, AIart,11
15448,midjourney, midjourneyai,11
9158, midjourneyAi, ailust,11
10287, nijijourney, AIart,11
14363,aiart, generativeart,11
15396,midjourney, ai,11
144, AI, ailust,11
6964, digitalart, AIart,11
13066,AIart, NFTs,11
8984, midjourney, ailust,11
3798, ai, artificialintelligence,11
76, AI, AIArt,11
817, AIart, NFTs,11
8736, machinelearning, aiartcommunity,11
10202, nightcafe, of,11
466, AIArtwork, TheBeastsofAI,11
9299, midjourneyai, AIart,11
12218, trippy, redbubble,10
5579, art, stablediffusion,10
14437,aiart, psychedelic,10
14700,art, AIart,10
12216, trippy, dmt,10
13291,AiLust, midjourneyart,10
5572, art, redbubble,10
13147,AIart, stablediffusionart,10
5583, art, teepublic,10
14338,aiart, dmt,10
12221, trippy, teepublic,10
11116, redbubble, teepublic,10
12217, trippy, lsd,10
5569, art, psychedelic,10
14983,castle, snow,10
12219, trippy, shrooms,10
4594, aiartcommunity, shrooms,10
11322, snow, nightcafestudio,10
3867, ai, machinelearning,10
4565, aiartcommunity, nightcafestudio,10
14473,aiart, teepublic,10
8722, lsd, teepublic,10
4606, aiartcommunity, teepublic,10
8719, lsd, redbubble,10
5502, art, dmt,10
8718, lsd, dmt,10
11321, snow, aiartist,10
3871, ai, midjourneyart,10
11320, snow, aiartcommunity,10
11319, snow, aiart,10
4587, aiartcommunity, redbubble,10
11304, shrooms, teepublic,10
13029,AIart, AIイラスト,10
5534, art, lsd,10
4540, aiartcommunity, lsd,10
4584, aiartcommunity, psychedelic,10
5454, art, aiart,10
14481,aiart, trippy,10
6968, digitalart, AIイラスト,10
11302, shrooms, redbubble,10
5577, art, shrooms,10
8131, generativeart, artificialintelligence,10
4016, aiart, aiartgallery,10
9283, midjourneyV4, midjourney,10
13709,NFTs, AIart,10
14391,aiart, lsd,10
14442,aiart, redbubble,10
11041, psychedelic, trippy,10
7200, digitalart, psychedelic,10
4774, aiartist, nightcafestudio,10
11040, psychedelic, teepublic,10
11038, psychedelic, shrooms,10
8977, midjourney, aiartwork,10
11037, psychedelic, redbubble,10
11036, psychedelic, lsd,10
11035, psychedelic, dmt,10
4366, aiartcommunity, AI,10
11593, stablediffusion, midjourneyart,10
7165, digitalart, nftart,10
15052,dalle2, aiartcommunity,10
585, AIArtworks, AIIA,10
7095, digitalart, dmt,10
4866, aiartwork, aiartworks,10
7471, dmt, teepublic,10
7468, dmt, redbubble,10
7140, digitalart, lsd,10
8156, generativeart, machinelearning,10
8128, generativeart, art,10
7204, digitalart, redbubble,10
8976, midjourney, aiartist,10
13084,AIart, TheBeastsofAI,10
7236, digitalart, teepublic,10
9382, midjourneyart, aiartgallery,10
9378, midjourneyart, ai,10
4508, aiartcommunity, dmt,10
9385, midjourneyart, aiartist,10
390, AIArtistCommunity, AIIA,10
14979,castle, aiart,10
14395,aiart, midjourney,10
14982,castle, nightcafestudio,10
14981,castle, aiartist,10
13164,AIイラスト, AIArtwork,10
7247, digitalart, trippy,10
4252, aiart, nightcafestudio,10
7217, digitalart, shrooms,10
14457,aiart, shrooms,10
14980,castle, aiartcommunity,10
779, AIart, DystopiaRising,9
272, AIARTWORK, AIイラスト,9
9387, midjourneyart, aiartworks,9
3378, TheBeastsofAI, AIIA,9
271, AIARTWORK, AIARTCOMMUNITY,9
4669, aiartgallery, digitalartgallery,9
14598,aiia, aiart,9
277, AIARTWORK, NFTS,9
4662, aiartgallery, aiartworks,9
4661, aiartgallery, aiartwork,9
4660, aiartgallery, aiartist,9
4658, aiartgallery, aiartcommunity,9
7276, digitalartgallery, aiartist,9
9429, midjourneyart, digitalartgallery,9
7277, digitalartgallery, aiartwork,9
14516,aiartcommunity, aiart,9
7278, digitalartgallery, aiartworks,9
15447,midjourney, midjourneyV4,9
268, AIARTCOMMUNITY, NFTS,9
9257, midjourneyV4, ai,9
4864, aiartwork, aiartist,9
13020,AIart, AIIA,9
4941, aiartworks, aiartist,9
244, AIART, AIARTCOMMUNITY,9
1162, AIイラスト, AIARTCOMMUNITY,9
245, AIART, AIARTWORK,9
246, AIART, AIイラスト,9
4949, aiartworks, digitalart,9
14393,aiart, machinelearning,9
249, AIART, DIGITALART,9
11538, stablediffusion, anythingv3,9
255, AIART, NFTS,9
12954,AIArtwork, AIart,9
7017, digitalart, aiartist,9
11592, stablediffusion, midjourney,9
7275, digitalartgallery, aiartcommunity,9
12849,AI, aiart,9
12996,AIArtworks, stablediffusion,9
14504,aiartcommunity, AiArtSociety,9
4135, aiart, digitalartgallery,9
12914,AIArt, AIArtCommunity,9
4858, aiartwork, ai,9
4138, aiart, digitalartwork,9
1179, AIイラスト, NFTS,9
597, AIArtworks, DystopiaRising,9
14502,aiartcommunity, AIArtwork,9
9040, midjourney, digitalartgallery,9
1959, DIGITALART, NFTS,9
13282,AiLust, aiartcommunity,9
1954, DIGITALART, AIイラスト,9
1953, DIGITALART, AIARTWORK,9
1952, DIGITALART, AIARTCOMMUNITY,9
13608,NFT, AIART,9
13609,NFT, AIARTCOMMUNITY,9
9118, midjourney, stablediffusion,9
13617,NFT, AIイラスト,9
13289,AiLust, midjourneyAi,9
9884, nft, nftart,9
4512, aiartcommunity, fantasy,9
13169,AIイラスト, aiartcommunity,9
13625,NFT, DIGITALART,9
394, AIArtistCommunity, DystopiaRising,9
13633,NFT, NFTS,9
8974, midjourney, aiartgallery,9
8978, midjourney, aiartworks,9
586, AIArtworks, AIart,9
13098,AIart, art,9
13610,NFT, AIARTWORK,9
278, AIARTWORK, OPENAI,8
1177, AIイラスト, MANIFOLD,8
11061, pubg, ps5,8
11067, pubg, xbox,8
4657, aiartgallery, ai,8
3071, OPENAI, CHATGPT,8
11784, starwars, pubg,8
16104,wolf, AartiArt,8
12917,AIArt, AIArtwork,8
16103,wolf, AIArt,8
1951, DIGITALART, AI,8
2573, NFT, nftart,8
11524, stablediffusion, aiartgallery,8
15068,dalle2, stablediffusion,8
13618,NFT, ART,8
15066,dalle2, midjourneyart,8
1176, AIイラスト, CHATGPT,8
14262,aiart, aiartists,8
4458, aiartcommunity, artificialintelligence,8
11060, pubg, ps4,8
11598, stablediffusion, nftart,8
16107,wolf, aiartdaily,8
4938, aiartworks, ai,8
16109,wolf, aiartists,8
11487, stablediffusion, AI,8
11057, pubg, nft,8
13607,NFT, AI,8
15050,dalle2, ai,8
11058, pubg, nintendo,8
15391,midjourney, TheBeastsofAI,8
13027,AIart, AIartists,8
16106,wolf, aiartcommunity,8
16105,wolf, AiAnimal,8
11566, stablediffusion, digitalartgallery,8
141, AI, aiartcommunity,8
13416,CosmicAngelAIChallenge, AIart,8
1793, CHATGPT, NFTS,8
11059, pubg, pc,8
15065,dalle2, midjourney,8
9091, midjourney, nijijourney,8
687, AIIA, AIartists,8
11049, pubg, aiart,8
13630,NFT, NFTART,8
9300, midjourneyai, TheBeastsofAI,8
4770, aiartist, nftart,8
13172,AIイラスト, stablediffusion,8
8965, midjourney, TheBeastsofAI,8
11689, starcitizen, pubg,8
2903, NFTs, NFTdrop,8
2896, NFTs, NFTCommuntiy,8
13628,NFT, MANIFOLD,8
7939, fortnite, pubg,8
116, AI, NFT,8
15056,dalle2, aiartworks,8
15055,dalle2, aiartwork,8
2595, NFTART, CHATGPT,8
2594, NFTART, AI,8
13417,CosmicAngelAIChallenge, AIイラスト,8
14265,aiart, aiartworld,8
118, AI, NFTS,8
15062,dalle2, digitalartgallery,8
